name,city,state,url,sitemap_url1,sitemap_url2,sitemap_url3,sitemap_url4,sitemap_url5,notes,,,,,,
Pittsburgh Tribune-Review,Pittsburgh,Pennsylvania,http://www.triblive.com,,,,https://triblive.com/sitemap-pt-post-%Y-%m.xml,,,,,,,,
The Oregonian,Portland,Oregon,http://www.oregonlive.com/,https://www.oregonlive.com/arcio/news-sitemap/,,,,,,,,,,,
The Portland Tribune,Portland,Oregon,http://portlandtribune.com,,,,,,,,,,,,
Willamette Week,Portland,Oregon,http://wweek.com,https://www.wweek.com/arcio/news-sitemap,,,,,,,,,,,
The Providence Journal,Providence,Rhode Island,http://www.providencejournal.com/,https://www.providencejournal.com/section/google-recent-sitemap,,,,,,,,,,,
Indy Week,Raleigh,North Carolina,http://www.indyweek.com,https://indyweek.com/sitemap_news.xml,,,,,,,,,,,
The News & Observer,Raleigh,North Carolina,https://www.newsobserver.com/,https://www.newsobserver.com/sitemap/story/googlenews.xml,,,,,,,,,,,
Triangle Downtowner Magazine,Raleigh,North Carolina,http://www.WeLoveDowntown.com,,,,,,,,,,,,
Richmond Times-Dispatch,Richmond,Virginia,http://www.richmond.com/,https://www.richmond.com/tncms/sitemap/news.xml,,,,,,,,,,,
The Roanoke Times,Roanoke,Virginia,http://www.roanoke.com/,https://www.roanoke.com/tncms/sitemap/news.xml,,,,,,,,,,,
Post-Bulletin,Rochester,Minnesota,http://www.postbulletin.com/,https://www.postbulletin.com/tncms/sitemap/news.xml,,,,,,,,,,,
Rochester Democrat and Chronicle,Rochester,New York,https://www.democratandchronicle.com/,,,,https://www.gannett-cdn.com/sitemaps/PROC/web/web-sitemap-%Y-%m.xml,,,,,,,,
The Sacramento Bee,Sacramento,California,http://sacbee.com/,https://www.sacbee.com/sitemap/story/googlenews.xml,,,,,,,,,,,
St. Louis Post-Dispatch,St. Louis,Missouri,http://www.stltoday.com,https://www.stltoday.com/tncms/sitemap/news.xml,,,,,,,,,,,
Deseret Morning News,Salt Lake City,Utah,http://www.deseret.com/,https://www.deseret.com/sitemaps/google_news,,,,,,,,,,,
The Salt Lake Tribune,Salt Lake City,Utah,http://www.sltrib.com/,https://www.sltrib.com/arcio/news-sitemap/,,,,,,,,,,,
San Antonio Express-News,San Antonio,Texas,http://expressnews.com,https://www.expressnews.com/sitemap/news/local.xml,,,,,,,,,,,
The San Diego Union-Tribune,San Diego,California,http://sandiegouniontribune.com,https://www.sandiegouniontribune.com/news-sitemap-content.xml,https://www.sandiegouniontribune.com/news-sitemap-latest.xml,,,,,,,,,,
San Jose Mercury News,San Francisco,California,https://www.mercurynews.com/,,,,https://www.mercurynews.com/sitemap.xml?yyyy=%Y&mm=%m&dd=%d,,,,,,,,
Puerto Rico Daily Sun,San Juan,Puerto Rico,https://web.archive.org/web/20111113090031/http://www.prdailysun.com/?,,,,,,,,,,,,
Savannah Morning News,Savannah,Georgia,http://www.savannahnow.com/,http://www.savannahnow.com/section/google-news-sitemap,,,,,,,,,,,
The Seattle Times,Seattle,Washington,http://seattletimes.com,,,,https://www.seattletimes.com/?sitemap=section&sec=seattle-news&smyear=%Y,,,,,,,,
The Stranger (newspaper),Seattle,Washington,http://www.thestranger.com,,,,,,,,,,,,
The Times,Shreveport,Louisiana,http://www.shreveporttimes.com/,https://www.shreveporttimes.com/news-sitemap.xml,,,,,,,,,,,
